Rank,Company,RevenueMil,RevenuePerCng,ProfitsMil,ProfitsPerCng,AssetsMil,EmployeeCount,RankCng,YearsOnList,Hqcity,HqCountry,IndustrySector
213,Jinneng Holding Group,63640,-0.18,994,1.77,159091,439051,-50,12,Datong,China,"Mining, Crude-Oil Production"
214,Aluminum Corp. of China,63595,-0.17,877,-0.48,86868,124995,-48,17,Beijing,China,Materials
215,Munich Re Group,63353,-0.16,4979,0.38,302400,42812,-45,30,Munich,Germany,Insurance: Property and Casualty (Stock)
216,Sberbank,63330,0.13,17744,3.48,583489,210753,34,17,Moscow,Russia,Commercial Banks
217,Banco do Brasil,63322,0.15,5980,0.12,443906,86220,34,30,Brasília,Brazil,Commercial Banks
218,The Progressive Corporation,62109,0.25,3902,4.41,88691,61432,69,11,Mayfield Village,United States,Insurance: Property and Casualty (Stock)
219,IBM,61860,0.02,7502,3.58,135241,296600,5,30,Armonk,United States,Information Technology Services
220,Nippon Steel Corporation,61359,0.04,3801,-0.26,70855,121236,16,30,Tokyo,Japan,Materials
221,Deere,61251,0.17,10166,0.43,104087,82956,47,30,Moline,United States,Construction and Farm Machinery
222,Nvidia,60922,1.26,29760,5.81,65728,29600,,1,Santa Clara,United States,Semiconductors and Other Electronic Components
223,StoneX Group,60856,-0.08,239,0.15,21939,4137,-25,14,New York,United States,Financials
224,Zurich Insurance Group,60645,0.45,4351,-0.06,361382,59593,134,30,Zurich,Switzerland,Insurance: Property and Casualty (Stock)
225,Bouygues,60600,0.3,1124,0.1,67093,201498,84,30,Paris,France,Engineering & Construction
226,Mizuho Financial Group,60504,0.42,4698,0.15,1842826,52307,124,24,Tokyo,Japan,Commercial Banks
227,Daimler Truck Holding,60420,0.13,4081,0.46,78653,102946,37,2,Leinfelden-Echterdingen,Germany,Motor Vehicles & Parts
228,ING Group,60401,0.26,4476,-0.65,1082725,59434,69,30,Amsterdam,Netherlands,Commercial Banks
229,Merck,60115,0.01,365,-0.98,106675,71000,2,30,Rahway,United States,Pharmaceuticals
230,Bunge,59540,-0.11,2243,0.39,25372,23000,-36,22,St. Louis,United States,Food Production
231,Anheuser-Busch InBev,59380,0.03,5341,-0.11,219340,154540,10,19,Leuven,Belgium,"Food, Beverages & Tobacco"
232,Industrial Bank,59152,-0.03,10893,-0.2,1431194,66569,-9,12,Fuzhou,China,Commercial Banks
233,POSCO Holdings,58999,-0.1,1300,-0.47,78342,44501,-32,30,Pohang,South Korea,Materials
234,Panasonic Holdings,58787,-0.05,3072,0.57,62235,228420,-16,30,Kadoma,Japan,"Electronics, Electrical Equipment"
235,ConocoPhillips,58574,-0.29,10957,-0.41,95924,9900,-86,29,Houston,United States,"Mining, Crude-Oil Production"
236,Pfizer,58496,-0.42,2119,-0.93,226501,88000,-134,30,New York,United States,Pharmaceuticals
237,Delta Air Lines,58048,0.15,4609,2.5,73644,103000,43,29,Atlanta,United States,Transportation
238,China Huaneng Group,57891,-0.09,1632,0.45,219906,124623,-29,16,Beijing,China,Utilities
239,China Energy Engineering Group,57708,0.05,600,0.1,112893,119182,17,11,Beijing,China,Engineering & Construction
240,Dongfeng Motor,57596,-0.16,-392,-1.32,71052,122658,-52,15,Wuhan,China,Motor Vehicles & Parts
241,TD Synnex,57555,-0.08,627,-0.04,29413,28000,-26,4,Clearwater,United States,Wholesalers: Electronics and Office Equipment
242,Publix Super Markets,57534,0.05,4349,0.49,34384,253000,13,30,Lakeland,United States,Food & Drug Stores
243,Zhejiang Hengyi Group,57468,0,24,,18827,22417,1,4,Hangzhou,China,Chemicals
244,Allstate,57094,0.11,-188,,103362,53200,32,29,Northbrook,United States,Insurance: Property and Casualty (Stock)
245,Assicurazioni Generali,57023,-0.34,4051,0.32,561753,81879,-108,30,Trieste,Italy,Life and Health Insurance
246,Cisco,56998,0.11,12613,0.07,101852,84900,28,25,San Jose,United States,"Computers, Office Equipment"
247,Repsol,56981,-0.21,3425,-0.23,68073,23943,-69,30,Madrid,Spain,Petroleum Refining
248,Lenovo Group,56864,-0.08,1011,-0.37,38751,69500,-31,15,Hong Kong,China,"Computers, Office Equipment"
249,HBIS Group,56728,-0.05,24,-0.52,76868,97802,-20,16,Shijiazhuang,China,Materials
250,Contemporary Amperex Technology,56633,0.16,6233,0.36,101041,116055,42,2,Ningde,China,"Electronics, Electrical Equipment"
251,Renault,56622,0.13,2376,,134651,105497,35,30,Boulogne-Billancourt,France,Motor Vehicles & Parts
252,Banco Bradesco,56491,0.1,2854,-0.3,397256,79583,21,28,Osasco,Brazil,Commercial Banks
253,China Electronics Technology Group,56084,0,2563,-0.04,92804,241097,-1,9,Beijing,China,"Electronics, Electrical Equipment"
