"country_region_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"GB","2021-02-26",-49.0925925925926,-3.8641975308642,44.9783950617284,-49.7808641975309,-44.1604938271605,17.6481481481481
"IN","2021-02-26",-16.5378006872852,25.7525773195876,-8.65292096219931,-2.94158075601375,-10.2405498281787,8.58419243986254
"IT","2021-02-26",-29.16,4.32,13.664,-29.536,-20.992,8.6
"NG","2021-02-26",-1.73170731707317,9.48780487804878,-11.0731707317073,10.4146341463415,-12.7317073170732,7.63414634146341
"US","2021-02-26",-16.1791044776119,-8.69817578772803,-8.77611940298507,-22.8524046434494,-26.7213930348259,9.48922056384743
"ZA","2021-02-26",-1.2,14.3,-37.4,-16.5,-15.9,7.8
"AU","2021-02-27",-0.716535433070866,2.71653543307087,6.31496062992126,-25.5433070866142,-2.51181102362205,1.59055118110236
"BR","2021-02-27",-31.3505154639175,14.8247422680412,-40.3788659793814,-26.1314432989691,-3.29896907216495,8.37371134020619
"GB","2021-02-27",-53.3789173789174,-6.5982905982906,48.5213675213675,-51.7065527065527,-24.1652421652422,11.1253561253561
"IN","2021-02-27",-14.6020583190395,26.5197255574614,-3.35677530017153,-3.12864493996569,-10.8627787307033,8.15608919382504
"IT","2021-02-27",-33.6825396825397,-0.317460317460317,20.7460317460317,-30.7857142857143,-20.3730158730159,7.66666666666667
"NG","2021-02-27",0.475,12.95,-7.525,11.025,-7.675,5.325
"US","2021-02-27",-13.569176882662,-5.85464098073555,7.5954465849387,-18.5481611208406,-9.94045534150613,4.3800350262697
"ZA","2021-02-27",3.55555555555556,21.1111111111111,-31.2222222222222,-13.6666666666667,-1.11111111111111,5.11111111111111
"AU","2021-02-28",-2.61946902654867,1.05309734513274,12.3716814159292,-26.6814159292035,-5.38053097345133,1.1858407079646
"BR","2021-02-28",-39.1473988439306,7.86705202312139,-41.1589595375723,-32.3757225433526,-3.91040462427746,8.9971098265896
"GB","2021-02-28",-52.5871559633027,-10.302752293578,54.2538226299694,-46.9694189602446,-22.3975535168196,8.56269113149847
"IN","2021-02-28",-14.825479930192,24.9197207678883,-0.766143106457243,-2.43804537521815,-6.20767888307155,7.22687609075044
"IT","2021-02-28",-41.2338709677419,-20.741935483871,21.3709677419355,-31.2822580645161,-17.9838709677419,6.75
"NG","2021-02-28",-4.91176470588235,5.32352941176471,-12.6470588235294,6.23529411764706,-9.08823529411765,5.79411764705882
"US","2021-02-28",-13.4092592592593,-7.86666666666667,-1.07592592592593,-19.0944444444444,-12.5092592592593,4.10555555555556
"ZA","2021-02-28",3.55555555555556,22.5555555555556,-26.6666666666667,-16.5555555555556,-2.11111111111111,5.77777777777778
